Season,TeamName,kenpom_adj_o,kenpom_adj_o_rank,kenpom_adj_d,kenpom_adj_d_rank,kenpom_rank,kenpom_luck,kenpom_adjem,TeamID
2011,Texas A&M;,109.0,66,92.4,35,40,0.067,0.8703,1401.0
2011,Florida St.,102.9,140,87.3,7,41,0.012,0.8697,1199.0
2011,New Mexico,111.7,38,94.7,55,42,-0.062,0.8696,1307.0
2011,Michigan St.,108.6,69,92.8,39,43,0.028999999999999998,0.8589,1277.0
2011,Michigan,110.3,51,94.4,50,44,0.009000000000000001,0.8575,1276.0
2011,Nebraska,105.3,100,90.4,18,45,-0.067,0.852,1304.0
2011,Alabama,103.1,137,88.7,11,46,-0.022000000000000002,0.8501,1104.0
2011,Penn St.,113.4,26,97.6,88,47,0.048,0.8494,1336.0
2011,Washington St.,108.4,71,93.3,41,48,-0.042,0.849,1450.0
2011,Old Dominion,108.9,67,93.8,46,49,0.076,0.8483,1330.0
2011,St. Mary's,117.0,11,100.8,144,50,-0.006999999999999999,0.8467,1388.0
2011,UCLA,106.9,87,92.2,34,51,0.028999999999999998,0.8459,1417.0
2011,Richmond,110.9,46,95.6,64,52,0.031,0.8455,1350.0
2011,Georgia,108.2,76,93.5,42,53,0.023,0.8424,1208.0
2011,Butler,111.8,37,96.7,75,54,-0.005,0.8418,1139.0
2011,Colorado,115.9,14,100.3,129,55,-0.015,0.8417,1160.0
2011,Tennessee,108.2,74,93.7,45,56,-0.044000000000000004,0.8389,1397.0
2011,UAB,108.2,73,94.0,48,57,0.016,0.8344,1412.0
2011,Duquesne,105.6,97,92.0,33,58,-0.132,0.8304,1182.0
2011,Seton Hall,102.6,145,89.5,14,59,-0.11699999999999999,0.8274,1371.0
2011,Iona,113.9,24,99.6,124,60,-0.10099999999999999,0.8234,1233.0
2011,Boston College,117.7,10,103.0,194,61,0.037000000000000005,0.8227,1130.0
2011,Minnesota,109.1,65,95.7,65,62,-0.018000000000000002,0.8183,1278.0
2011,Miami FL,111.6,40,97.9,95,63,-0.040999999999999995,0.8182,1274.0
2011,Wichita St.,109.9,58,96.4,72,64,-0.063,0.8181,1455.0
2011,Northwestern,114.5,22,100.8,143,65,0.026000000000000002,0.8132,1321.0
2011,Texas El Paso,104.0,119,91.9,31,66,0.008,0.8057,1431.0
2011,California,110.3,52,97.9,94,67,0.026000000000000002,0.7971,1143.0
2011,Oakland,116.0,13,103.3,200,68,0.037000000000000005,0.7918,1324.0
2011,Southern Mississippi,111.5,41,99.3,119,69,-0.024,0.7905,1379.0
2011,Cleveland St.,108.3,72,97.3,83,70,0.031,0.7738,1156.0
2011,Mississippi,112.5,35,101.1,159,71,-0.02,0.773,1279.0
2011,Baylor,107.0,86,96.2,71,72,-0.045,0.7725,1124.0
2011,Colorado St.,107.9,77,97.3,82,73,0.019,0.767,1161.0
2011,Rutgers,107.3,82,97.0,78,74,-0.052000000000000005,0.762,1353.0
2011,Oklahoma St.,105.0,106,94.9,57,75,0.051,0.7616,1329.0
2011,Harvard,111.1,43,100.6,140,76,0.064,0.7575,1217.0
2011,Iowa St.,106.6,88,96.8,77,77,-0.095,0.7515,1235.0
2011,Indiana,108.6,68,98.9,110,78,-0.14,0.7458,1231.0
2011,Missouri St.,110.7,47,101.0,154,79,0.031,0.7408,1283.0
2011,Marshall,109.4,61,99.9,126,80,0.004,0.7405,1267.0
2011,College of Charleston,111.0,44,101.4,164,81,-0.013999999999999999,0.7383,1158.0
2011,Boise St.,106.3,92,97.3,81,82,-0.042,0.735,1129.0
2011,Iowa,103.4,130,94.9,56,83,-0.11800000000000001,0.7281,1234.0
2011,Oregon,106.3,93,97.6,89,84,-0.018000000000000002,0.7259,1332.0
2011,Virginia Commonwealth,109.6,59,100.7,142,85,0.023,0.7259,1433.0
2011,Tulsa,106.2,94,97.6,90,86,-0.004,0.7245,1409.0
2011,Wofford,111.7,39,103.0,193,87,-0.015,0.717,1459.0
2011,Long Beach St.,106.1,95,98.0,97,88,0.078,0.7139,1253.0
2011,Princeton,104.6,112,96.8,76,89,0.10099999999999999,0.7112,1343.0
2011,Georgia Tech,100.8,180,93.6,43,90,-0.092,0.703,1210.0
2011,Fairfield,96.9,249,90.0,17,91,0.049,0.7021,1193.0
2011,North Carolina St.,108.6,70,100.8,145,92,-0.02,0.7008,1301.0
2011,Bucknell,103.1,136,95.9,66,93,0.04,0.6974,1137.0
2011,Morehead St.,104.7,109,97.6,87,94,-0.002,0.6924,1287.0
2011,Providence,108.2,75,100.9,150,95,-0.045,0.6896,1344.0
2011,Dayton,101.9,164,95.1,61,96,0.053,0.688,1173.0
2011,Virginia,102.9,142,96.1,68,97,0.02,0.687,1438.0
2011,Central Florida,105.0,105,98.3,101,98,0.006999999999999999,0.6812,1416.0
2011,Drexel,97.4,242,91.2,23,99,0.066,0.6809,1180.0
2011,Stanford,103.6,125,97.1,79,100,-0.044000000000000004,0.6778,1390.0
2011,Memphis,101.8,165,95.6,63,101,0.132,0.6732,1272.0
2011,Arkansas,105.2,103,99.0,113,102,0.003,0.6679,1116.0
2011,Valparaiso,104.1,116,98.2,100,103,0.068,0.6601,1434.0
2011,James Madison,107.2,83,101.3,161,104,0.009000000000000001,0.659,1241.0
2011,Portland,110.0,57,104.0,214,105,0.06,0.656,1339.0
2011,Montana,99.7,204,94.4,52,106,0.018000000000000002,0.6507,1285.0
2011,Texas Tech,106.6,89,101.0,155,107,-0.040999999999999995,0.6483,1403.0
2011,Rider,106.3,91,100.9,147,108,0.053,0.6461,1351.0
2011,Indiana St.,100.9,179,96.1,67,109,0.052000000000000005,0.6387,1232.0
2011,Coastal Carolina,104.2,114,99.3,117,110,0.081,0.6344,1157.0
2011,St. Peter's,95.0,276,90.6,20,111,0.07200000000000001,0.6332,1389.0
2011,Air Force,105.2,101,100.4,134,112,0.018000000000000002,0.6326,1102.0
2011,East Tennessee St.,102.0,159,97.4,85,113,0.039,0.6322,1190.0
2011,South Dakota St.,113.6,25,108.7,294,114,-0.084,0.6256,1355.0
2011,Wright St.,103.4,129,99.0,112,115,-0.013999999999999999,0.6243,1460.0
2011,Creighton,105.4,99,100.9,146,116,-0.045,0.6231,1166.0
2011,Kent St.,102.2,156,97.8,93,117,0.061,0.6225,1245.0
2011,Long Island,107.8,78,103.3,201,118,0.051,0.6213,1254.0
2011,East Carolina,105.1,104,100.7,141,119,0.036000000000000004,0.6204,1187.0
2011,Buffalo,103.8,122,99.4,121,120,-0.106,0.6203,1138.0
2011,Northern Colorado,104.7,108,100.4,133,121,0.018000000000000002,0.6199,1294.0
2011,Rhode Island,102.4,151,98.2,99,122,0.064,0.6193,1348.0
2011,New Mexico St.,103.6,128,99.3,118,123,-0.027000000000000003,0.6179,1308.0
2011,Arizona St.,103.4,131,99.2,115,124,-0.009000000000000001,0.6165,1113.0
2011,Mississippi St.,105.2,102,101.0,153,125,0.07200000000000001,0.6157,1280.0
2011,St. Louis,97.5,241,94.0,47,126,-0.124,0.6041,1387.0
2011,Northern Arizona,104.0,118,100.3,130,127,-0.055999999999999994,0.6041,1319.0
2011,Murray St.,102.3,153,98.8,106,128,0.040999999999999995,0.5976,1293.0
2011,Northern Iowa,107.2,85,103.6,205,129,0.022000000000000002,0.5965,1320.0
2011,South Carolina,99.4,208,96.1,69,130,0.01,0.5955,1376.0
2011,South Florida,102.2,154,98.9,108,131,-0.02,0.5934,1378.0
2011,Oral Roberts,109.1,63,105.6,241,132,-0.019,0.5928,1331.0
2011,Akron,102.0,161,98.8,105,133,0.033,0.5921,1103.0
2011,Oklahoma,103.8,121,100.5,135,134,0.025,0.5919,1328.0
2011,Idaho,104.7,111,101.5,167,135,0.028999999999999998,0.5872,1225.0
2011,Vermont,100.1,195,97.4,84,136,0.081,0.58,1436.0
2011,Hofstra,107.5,80,104.6,232,137,0.139,0.5782,1220.0
2011,Austin Peay,100.7,185,98.0,96,138,-0.031,0.5771,1122.0
2011,Detroit,105.5,98,102.7,190,139,-0.022000000000000002,0.577,1178.0
2011,Utah,101.5,173,98.9,111,140,0.033,0.5717,1428.0
2011,NC Asheville,99.7,201,97.4,86,141,-0.031,0.5675,1421.0
2011,IUPUI,110.1,54,107.6,273,142,0.015,0.5673,1237.0
2011,St. Bonaventure,105.9,96,103.8,212,143,0.031,0.5578,1382.0
2011,Southern Methodist,102.9,141,101.0,152,144,-0.057999999999999996,0.5549,1374.0
2011,Loyola Chicago,103.3,133,101.4,163,145,-0.063,0.5528,1260.0
2011,Wisconsin Milwaukee,102.7,144,100.9,148,146,0.128,0.5519,1454.0
2011,UC Santa Barbara,102.2,155,100.5,136,147,-0.023,0.548,1364.0
2011,San Francisco,100.4,192,98.8,107,148,0.077,0.5455,1362.0
2011,Rice,103.9,120,102.3,183,149,-0.063,0.5443,1349.0
2011,Santa Clara,103.6,127,102.1,180,150,0.032,0.5409,1365.0
2011,Robert Morris,101.2,176,100.1,128,151,0.013999999999999999,0.5316,1352.0
2011,Pacific,103.3,132,102.1,181,152,-0.061,0.5315,1334.0
2011,Nevada,103.0,139,101.9,172,153,-0.05,0.5314,1305.0
2011,Furman,102.5,148,101.5,168,154,0.067,0.5277,1202.0
2011,Oregon St.,101.4,174,100.6,139,155,-0.044000000000000004,0.5222,1333.0
2011,Hawaii,100.2,193,99.5,123,156,0.055999999999999994,0.5221,1218.0
2011,Ohio,104.9,107,104.5,230,157,-0.006,0.5114,1325.0
2011,Central Connecticut,98.7,219,98.4,103,158,-0.009000000000000001,0.5083,1148.0
2011,Wisconsin Green Bay,101.7,168,101.4,166,159,0.01,0.5071,1453.0
2011,Lipscomb,104.7,110,104.4,227,160,0.0,0.5064,1252.0
2011,Fresno St.,100.8,182,100.6,138,161,-0.033,0.5056,1201.0
2011,Western Michigan,104.2,115,104.0,217,162,0.061,0.5039,1444.0
2011,George Washington,99.9,200,99.8,125,163,0.07200000000000001,0.503,1203.0
2011,Davidson,102.0,160,102.0,176,164,-0.027999999999999997,0.5005,1172.0
2011,Cal Poly,96.3,256,96.6,74,165,-0.001,0.4932,1142.0
2011,La Salle,104.2,113,104.6,233,166,0.008,0.4884,1247.0
2011,Texas Christian,100.5,191,100.9,151,167,-0.076,0.4861,1395.0
2011,Quinnipiac,102.6,146,103.1,197,168,0.012,0.4859,1346.0
2011,Weber St.,102.4,152,103.0,195,169,0.012,0.4821,1451.0
2011,Boston University,102.0,162,102.7,189,170,0.032,0.4819,1131.0
2011,Ball St.,101.4,175,102.1,178,171,0.036000000000000004,0.4798,1123.0
2011,Sam Houston St.,101.6,171,102.4,185,172,-0.031,0.4759,1358.0
2011,North Dakota St.,102.4,150,103.5,203,173,-0.132,0.4695,1295.0
2011,Canisius,101.8,167,102.9,191,174,-0.032,0.4693,1145.0
2011,North Texas,107.2,84,108.5,291,175,0.044000000000000004,0.4642,1317.0
2011,Jacksonville,96.4,254,97.8,91,176,0.042,0.461,1239.0
2011,San Jose St.,103.2,135,104.8,236,177,0.071,0.4548,1363.0
2011,Loyola MD,101.8,166,103.5,204,178,-0.024,0.4521,1259.0
2011,Middle Tennessee,95.5,266,97.2,80,179,-0.071,0.4502,1292.0
2011,Tulane,100.5,190,102.3,184,180,-0.126,0.4496,1408.0
2011,IUPU Fort Wayne,103.6,124,105.5,239,181,0.025,0.4495,1236.0
2011,Pennsylvania,100.5,189,102.5,186,182,0.006,0.4439,1335.0
2011,American,102.0,163,104.1,219,183,0.129,0.441,1110.0
2011,Florida Atlantic,100.1,196,102.6,188,184,0.127,0.4283,1194.0
2011,Western Carolina,97.0,248,99.4,122,185,0.042,0.4282,1441.0
2011,Miami OH,102.8,143,105.6,242,186,0.121,0.4225,1275.0
2011,Northeastern,107.4,81,110.5,311,187,0.023,0.4186,1318.0
2011,Evansville,98.7,216,101.7,170,188,0.047,0.4166,1191.0
2011,Cornell,103.2,134,106.3,253,189,-0.071,0.4158,1165.0
2011,Yale,97.3,243,100.3,132,190,0.032,0.4152,1463.0
2011,Massachusetts,95.8,260,98.7,104,191,0.043,0.4144,1269.0
2011,McNeese St.,103.7,123,106.9,264,192,0.10400000000000001,0.4141,1270.0
2011,Arkansas St.,99.0,213,102.1,177,193,0.002,0.4121,1117.0
2011,Saint Joseph's,103.6,126,106.9,263,194,0.013999999999999999,0.4104,1386.0
2011,Lehigh,100.6,186,104.1,220,195,-0.03,0.4028,1250.0
2011,Bradley,99.6,205,103.1,198,196,-0.034,0.4025,1133.0
2011,Mercer,99.7,202,103.2,199,197,-0.001,0.4012,1273.0
2011,Virginia Military Inst,109.1,64,113.0,332,198,-0.017,0.4,1440.0
2011,Delaware,98.1,231,101.6,169,199,0.057999999999999996,0.3992,1174.0
2011,Stephen F. Austin,95.3,270,98.9,109,200,-0.039,0.3946,1372.0
2011,Loyola Marymount,100.0,198,104.2,223,201,-0.1,0.3849,1258.0
2011,DePaul,101.5,172,105.9,245,202,-0.045,0.3821,1177.0
2011,Houston,100.8,181,105.1,238,203,0.006,0.3817,1222.0
2011,Tennessee Tech,99.7,203,104.0,216,204,0.067,0.3799,1399.0
2011,Denver,96.8,250,101.4,162,205,-0.057,0.3706,1176.0
2011,Maine,103.1,138,107.9,281,206,-0.054000000000000006,0.3704,1263.0
2011,St. Francis NY,96.5,253,101.1,156,207,-0.016,0.3703,1383.0
2011,Charlotte,99.1,210,103.8,211,208,-0.011000000000000001,0.3687,1150.0
2011,Wyoming,97.9,233,102.6,187,209,-0.055999999999999994,0.3681,1461.0
2011,Arkansas Little Rock,99.5,207,104.4,226,210,0.044000000000000004,0.3659,1114.0
2011,Cal St. Northridge,98.7,218,103.7,208,211,0.001,0.3603,1169.0
2011,Siena,97.0,247,102.0,174,212,-0.005,0.3595,1373.0
2011,William & Mary,101.6,170,106.8,262,213,-0.055999999999999994,0.3592,1456.0
2011,NC Wilmington,99.0,212,104.2,225,214,0.002,0.3561,1423.0
2011,Appalachian St.,102.5,149,107.9,279,215,0.044000000000000004,0.3558,1111.0
2011,Charleston Southern,101.2,177,106.7,258,216,-0.061,0.3519,1149.0
2011,Auburn,95.3,268,100.5,137,217,0.001,0.3518,1120.0
2011,UC Irvine,100.7,184,106.3,252,218,-0.049,0.3501,1414.0
2011,Drake,98.5,225,104.1,218,219,-0.01,0.3484,1179.0
2011,Columbia,98.6,222,104.2,224,220,0.038,0.347,1162.0
2011,Lafayette,100.6,188,106.3,254,221,-0.03,0.3456,1248.0
2011,Stony Brook,92.8,293,98.1,98,222,-0.025,0.3454,1392.0
2011,Texas San Antonio,100.1,194,106.0,249,223,0.05,0.3415,1427.0
2011,Holy Cross,100.0,199,106.1,250,224,-0.15,0.3356,1221.0
2011,Western Kentucky,98.4,226,104.5,229,225,0.018000000000000002,0.3354,1443.0
2011,Louisiana Lafayette,97.6,238,103.6,206,226,0.03,0.3347,1418.0
2011,Winthrop,94.3,284,100.1,127,227,-0.04,0.334,1457.0
2011,Pepperdine,102.2,157,108.5,292,228,0.006,0.3324,1337.0
2011,Hampton,91.9,301,97.8,92,229,0.025,0.3304,1214.0
2011,Georgia St.,92.4,297,98.3,102,230,-0.031,0.3281,1209.0
2011,Louisiana St.,93.1,290,99.1,114,231,-0.055,0.3277,1261.0
2011,Nicholls St.,95.7,262,101.9,173,232,-0.051,0.3268,1311.0
2011,Lamar,98.6,221,105.5,240,233,-0.126,0.315,1249.0
2011,Tennessee St.,100.0,197,107.2,269,234,0.022000000000000002,0.3119,1398.0
2011,Eastern Kentucky,100.8,183,108.0,284,235,-0.027000000000000003,0.3095,1184.0
2011,Southern Illinois,94.3,282,101.3,160,236,0.034,0.3073,1356.0
2011,Liberty,96.0,258,103.0,192,237,0.086,0.3072,1251.0
2011,North Florida,96.8,251,103.9,213,238,0.087,0.3071,1316.0
2011,Elon,102.6,147,110.2,308,239,-0.013999999999999999,0.3047,1189.0
2011,Wagner,97.5,240,105.0,237,240,0.027000000000000003,0.3,1447.0
2011,UC Davis,101.2,178,108.9,297,241,-0.095,0.2999,1413.0
2011,Albany,99.6,206,107.3,272,242,0.025,0.2979,1107.0
2011,Texas St.,99.3,209,107.1,267,243,0.036000000000000004,0.2963,1402.0
2011,Brown,100.6,187,108.6,293,244,-0.028999999999999998,0.2932,1135.0
2011,Illinois St.,94.1,286,101.7,171,245,-0.008,0.2915,1229.0
2011,Bowling Green,95.7,263,104.0,215,246,0.017,0.2783,1132.0
2011,Texas Arlington,95.3,269,103.7,207,247,-0.07200000000000001,0.2745,1426.0
2011,Southern Utah,98.6,220,107.6,274,248,-0.013999999999999999,0.2693,1381.0
2011,Morgan St.,92.6,294,101.1,157,249,0.054000000000000006,0.2688,1288.0
2011,Louisiana Tech,91.9,302,100.3,131,250,-0.006,0.2687,1256.0
2011,Utah Valley,98.6,224,107.6,276,251,0.031,0.2672,1430.0
2011,Wake Forest,97.8,235,106.7,259,252,0.009000000000000001,0.2668,1448.0
2011,Coppin St.,98.1,230,107.2,270,253,0.022000000000000002,0.2646,1164.0
2011,Youngstown St.,98.1,229,107.3,271,254,-0.024,0.2623,1464.0
2011,Montana St.,97.7,236,107.1,268,255,0.006,0.2571,1286.0
2011,Southeastern Louisiana,96.4,255,105.9,247,256,0.067,0.2533,1368.0
2011,Northwestern St.,99.0,211,108.8,295,257,0.1,0.2521,1322.0
2011,Cal St. Fullerton,102.1,158,112.2,325,258,0.018000000000000002,0.2518,1168.0
2011,Eastern Washington,97.1,246,106.8,260,259,-0.032,0.2512,1186.0
2011,Illinois Chicago,93.8,287,103.3,202,260,-0.040999999999999995,0.2478,1227.0
2011,Campbell,94.9,278,104.7,234,261,-0.06,0.2444,1144.0
2011,Presbyterian,98.1,228,108.4,288,262,0.046,0.2421,1342.0
2011,Seattle,91.2,308,101.1,158,263,0.046,0.2345,1370.0
2011,Sacred Heart,97.2,245,107.9,278,264,-0.013000000000000001,0.2312,1357.0
2011,Portland St.,101.6,169,113.0,331,265,0.065,0.2278,1340.0
2011,Towson,104.1,117,115.9,342,266,-0.07,0.2258,1406.0
2011,Mount St. Mary's,91.6,305,102.0,175,267,-0.02,0.2241,1291.0
2011,UC Riverside,95.6,265,106.5,256,268,0.068,0.224,1415.0
2011,Gardner Webb,92.5,296,103.1,196,269,-0.016,0.2236,1205.0
2011,Navy,90.8,310,101.4,165,270,-0.038,0.2197,1298.0
2011,Missouri Kansas City,98.9,214,110.8,312,271,0.114,0.2129,1282.0
2011,Troy,94.8,279,106.3,255,272,-0.037000000000000005,0.2105,1407.0
2011,Northern Illinois,95.8,261,107.6,275,273,-0.028999999999999998,0.2073,1296.0
2011,Jacksonville St.,95.2,273,107.1,266,274,-0.078,0.2045,1240.0
2011,NC Greensboro,97.6,237,109.9,305,275,-0.031,0.204,1422.0
2011,Jackson St.,93.0,291,104.8,235,276,0.011000000000000001,0.2036,1238.0
2011,Florida Gulf Coast,92.2,299,103.8,209,277,-0.001,0.2035,1195.0
2011,Savannah St.,88.1,330,99.3,116,278,0.042,0.2035,1366.0
2011,Chattanooga,95.6,264,107.8,277,279,0.134,0.2011,1151.0
2011,The Citadel,98.6,223,111.3,318,280,-0.055,0.1985,1154.0
2011,St. Francis PA,97.2,244,110.0,306,281,-0.016,0.1955,1384.0
2011,Bethune Cookman,97.9,232,110.9,314,282,0.159,0.1925,1126.0
2011,Monmouth,91.9,303,104.1,221,283,-0.028999999999999998,0.1919,1284.0
2011,Eastern Michigan,87.7,332,99.3,120,284,-0.109,0.1917,1185.0
2011,Florida International,98.3,227,111.4,320,285,-0.013000000000000001,0.1915,1198.0
2011,Texas Southern,90.0,319,102.1,179,286,0.156,0.1907,1411.0
2011,Central Michigan,89.0,325,100.9,149,287,-0.005,0.1905,1141.0
2011,Army,96.0,257,108.9,296,288,-0.03,0.1903,1119.0
2011,Southeast Missouri St.,95.2,272,108.5,290,289,-0.019,0.1816,1369.0
2011,Norfolk St.,95.2,274,108.5,289,290,-0.012,0.181,1313.0
2011,South Alabama,97.9,234,111.6,321,291,0.040999999999999995,0.1804,1375.0
2011,Fordham,95.4,267,108.9,298,292,0.012,0.1784,1200.0
2011,New Hampshire,89.2,323,102.2,182,293,0.028999999999999998,0.1737,1306.0
2011,South Dakota,98.8,215,113.5,334,294,-0.031,0.1692,1377.0
2011,Tennessee Martin,94.9,277,109.0,299,295,-0.002,0.1691,1404.0
2011,North Carolina A&T;,96.5,252,111.2,317,296,0.049,0.1645,1299.0
2011,Hartford,90.4,315,104.5,228,297,-0.011000000000000001,0.1594,1216.0
2011,San Diego,90.3,316,104.5,231,298,-0.03,0.1564,1360.0
2011,Eastern Illinois,91.5,306,106.0,248,299,-0.016,0.1555,1183.0
2011,Stetson,94.1,285,109.1,300,300,0.006999999999999999,0.1553,1391.0
2011,Idaho St.,95.9,259,111.1,316,301,-0.003,0.155,1226.0
2011,Niagara,89.4,322,103.8,210,302,0.02,0.152,1310.0
2011,Manhattan,94.6,280,110.0,307,303,0.026000000000000002,0.1495,1264.0
2011,North Dakota,90.7,311,105.8,244,304,0.073,0.1461,1315.0
2011,North Carolina Central,94.6,281,110.5,310,305,0.092,0.1431,1300.0
2011,Alabama St.,90.3,317,105.9,246,306,0.03,0.1375,1106.0
2011,Bryant,97.6,239,114.7,339,307,0.033,0.1347,1136.0
2011,NJ Inst of Technology,90.2,318,106.1,251,308,0.017,0.1328,1312.0
2011,Delaware St.,95.0,275,112.0,322,309,-0.065,0.131,1175.0
2011,High Point,92.1,300,109.1,301,310,0.083,0.1244,1219.0
2011,Samford,93.3,289,110.9,313,311,0.07400000000000001,0.1199,1359.0
2011,Texas A&M; Corpus Chris,90.7,313,107.9,280,312,0.042,0.1191,1394.0
2011,Binghamton,94.3,283,112.3,326,313,-0.040999999999999995,0.1185,1127.0
2011,Mississippi Valley St.,90.7,312,108.1,285,314,0.035,0.1179,1290.0
2011,Marist,92.3,298,110.2,309,315,0.008,0.1156,1265.0
2011,Fairleigh Dickinson,91.5,307,109.3,302,316,-0.026000000000000002,0.1144,1192.0
2011,Colgate,93.6,288,112.3,327,317,-0.031,0.1098,1159.0
2011,Cal St. Bakersfield,92.5,295,111.4,319,318,0.037000000000000005,0.1054,1167.0
2011,Kennesaw St.,95.3,271,114.9,341,319,0.0,0.1038,1244.0
2011,South Carolina Upstate,89.5,320,108.0,283,320,0.017,0.1035,1367.0
2011,Longwood,98.7,217,119.1,344,321,0.025,0.1032,1255.0
2011,Sacramento St.,90.5,314,109.3,303,322,-0.027000000000000003,0.1029,1170.0
2011,Alabama A&M;,85.7,336,104.1,222,323,-0.002,0.0957,1105.0
2011,Dartmouth,88.6,327,108.0,282,324,-0.013999999999999999,0.0932,1171.0
2011,Georgia Southern,88.0,331,108.1,286,325,-0.064,0.0857,1204.0
2011,South Carolina St.,89.0,326,109.8,304,326,-0.049,0.0818,1354.0
2011,Louisiana Monroe,91.8,304,113.4,333,327,-0.022000000000000002,0.0806,1419.0
2011,Florida A&M;,86.3,333,106.8,261,328,0.006,0.0792,1197.0
2011,Grambling,84.5,339,105.6,243,329,0.034,0.0717,1212.0
2011,Radford,85.1,338,106.5,257,330,0.006999999999999999,0.0702,1347.0
2011,Western Illinois,85.2,337,107.0,265,331,0.003,0.0674,1442.0
2011,Texas Pan American,91.0,309,114.5,338,332,-0.07400000000000001,0.0661,1410.0
2011,Toledo,88.4,328,112.4,329,333,-0.038,0.059,1405.0
2011,Central Arkansas,88.3,329,112.4,328,334,-0.071,0.0586,1146.0
2011,Houston Baptist,89.5,321,114.2,337,335,0.031,0.0569,1223.0
2011,Maryland Eastern Shore,89.0,324,113.7,336,336,0.027000000000000003,0.0567,1271.0
2011,MD Baltimore County,93.0,292,118.8,343,337,0.025,0.0564,1420.0
2011,Prairie View A&M;,84.0,341,108.2,287,338,-0.025,0.0518,1341.0
2011,Arkansas Pine Bluff,86.3,334,112.1,323,339,0.004,0.0469,1115.0
2011,Howard,86.1,335,112.2,324,340,0.023,0.0457,1224.0
2011,Alcorn St.,83.4,343,111.1,315,341,-0.02,0.0358,1108.0
2011,SIU Edwardsville,83.7,342,113.6,335,342,0.053,0.0291,1188.0
2011,Centenary,81.2,344,112.5,330,343,-0.022000000000000002,0.0231,1147.0
2011,Chicago St.,84.1,340,120.0,345,344,-0.005,0.0166,1152.0
2011,Southern,80.0,345,114.8,340,345,-0.036000000000000004,0.0155,1380.0
2012,Kentucky,121.7,2,86.7,5,1,0.035,0.9701,1246.0
2012,Ohio St.,116.7,10,83.8,1,2,-0.040999999999999995,0.9677,1326.0
2012,Michigan St.,115.7,14,84.8,3,3,-0.046,0.9606,1277.0
2012,Kansas,117.0,8,87.6,9,4,0.01,0.9511,1242.0
